,Year,Tw/h
0,1950,75.964
1,1951,80.576
2,1952,81.498
3,1953,83.345
4,1954,85.146
5,1955,90.165
6,1956,95.781
7,1957,97.264
8,1958,99.357
9,1959,100.134
10,1960,101.146
11,1961,112.055
12,1962,115.402
13,1963,122.805
14,1964,132.438
15,1965,148.397
16,1966,163.015
17,1967,174.27
18,1968,179.572
19,1969,188.597
20,1970,197.185
21,1971,200.639
22,1972,209.408
23,1973,212.757
24,1974,220.648
25,1975,225.925
26,1976,243.836
27,1977,257.611
28,1978,273.281
29,1979,284.525
30,1980,292.19
31,1981,307.53
32,1982,283.259
33,1983,289.867
34,1984,300.992
35,1985,329.886
36,1986,344.428
37,1987,356.229
38,1988,377.296
39,1989,388.619
40,1990,384.534
41,1991,415.941
42,1992,433.324
43,1993,448.76
44,1994,463.978
45,1995,477.424
46,1996,464.402
47,1997,515.714
48,1998,531.621
49,1999,550.727
50,2000,571.996
51,2001,592.079
52,2002,612.978
53,2003,631.191
54,2004,649.331
55,2005,666.819
56,2006,682.924
57,2007,699.951
58,2008,716.7475
59,2009,733.544
60,2010,750.3405
61,2011,767.137
62,2012,783.9335
63,2013,800.73
64,2014,817.5265
65,2015,834.323
66,2016,851.1195
67,2017,867.916
68,2018,884.7125
69,2019,901.509
